OSM_ID;type;lat;lon;addr:postcode;addr:street;addr:housenumber;amenity;name;opening_hours;cuisine
34039212;node;47.4955184;8.7415564;;;;restaurant;Hallenbadrestaurant Geiselweid;"Tu-Fr 09:00-21:00; Mo 11:30-21:00; Sa,Su 09:00-18:30";
34040796;node;47.4830648;8.705704;;;;restaurant;Schwimmbadrestaurant Töss;;
246249861;node;47.5000502;8.7312632;8400;Oberer Graben;48;restaurant;Tibits;"Mo 07:00-22:00; Tu-Fr 07:00-22:30; Sa 08:00-22:30; Su 09:00-22:00";
246252799;node;47.4989007;8.7272644;8400;Spitalgasse;1;cafe;Kafisatz;"Mo,We-Th 08:00-24:00; Tu 07:00-24:00; Fr 07:00-02:00; Sa 08:30-02:00; Su 12:00-22:00";
246253649;node;47.4998045;8.7250404;8400;Stadthausstrasse;20;cafe;Vollenweider;"Mo-Fr 07:00-18:00; Sa 08:30-18:00; Su 09:00-18:00";
246253651;node;47.499747;8.7264919;;;;restaurant;Casinotheater Restaurant Fredi;"Mo 11:00-22:30; Tu,We 09:00-22:30; Th,Fr 09:00-24:00; Sa 11:00-24:00";regional
246253655;node;47.4984256;8.7292032;8400;Steinberggasse;16;pub;Albani;Mo-We 15:00-24:00, Th 15:00-01:00, Fr-Sa 15:00+;
246781229;node;47.4980774;8.7231395;;;;pub;Zimmer 31;Fr,Sa 22:00-05:00;
247766473;node;47.4986261;8.7277212;8400;Metzggasse;9;pub;Widder;;
247766478;node;47.4979565;8.727372;8400;Steinberggasse;59;restaurant;grepery;"Mo-Th 09:00-24:00; Fr-Sa 09:00-01:00; Su 09:00-23:00";
247766635;node;47.4987667;8.7304544;;;;cafe;Cappucino;"Mo-Th 07:00-00:00; Fr 07:00-01:00; Sa 08:00-01:00; Su 09:30-00:00";coffee_shop
247766860;node;47.501526;8.725948;8400;Merkurstrasse;25;pub;Paddy O'Briens Old Irish Pub;Mo-We 16:00-24:00, Th,Fr 16:00-02:00, Sa 15:00-02:00, Su 17:30-24:00;
249730077;node;47.4979362;8.7321599;8400;Technikumstrasse;2;pub;Chnelle 3;Mo-Su 18:00+;
256866280;node;47.4996979;8.7241129;8400;Stadthausstrasse;24;restaurant;National;Mo-Su 09:00-24:00;
270908998;node;47.4989606;8.7313826;;;;restaurant;zum Schäfli;"Mo-Fr 08:30-00:00; Sa 10:30-00:00";regional
272321242;node;47.4980775;8.7311439;8400;Holderplatz;4;cafe;Stadtmuur;;
272323419;node;47.4980412;8.7306613;8400;Technikumstrasse;10;pub;Renegade;;
277746978;node;47.4924964;8.761252;;;;restaurant;Kafi Ass;;
282655573;node;47.4992488;8.7309303;8400;Unterer Graben;25;cafe;Alltag;Mo-Th 07:30-23:00, Fr 07:30-01:00, Sa 08:30-01:00, Su 10:00-18:00;
282655574;node;47.4999063;8.7320208;8400;Obertor;21;fast_food;Istanbul;;kebab
